class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0006022000000029948	0.39463130000000035	0.6598946000000012	0.01421799999999962
EmbeddingComposite	sample	149	QUBO	4	5	0.0005823999999989837	0.04286120000000082	0.1134681999999998	0.018546499999999355
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0005588999999996958	0.4259120000000003	0.6853139000000006	0.028129700000000035
EmbeddingComposite	sample	149	QUBO	4	5	0.0007576000000000249	0.04328240000000072	0.10652069999999991	0.031049900000000186
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0006195000000008832	0.3109957000000012	0.5585217	0.027366000000000668
EmbeddingComposite	sample	149	QUBO	4	5	0.0005644999999994127	0.05344539999999931	0.10355230000000049	0.032039400000000384
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0006766999999996415	0.3109394999999999	0.5024171000000024	0.032370300000000185
EmbeddingComposite	sample	149	QUBO	4	5	0.0005071000000000936	0.03576840000000203	0.08473780000000275	0.07399159999999938
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0005238999999992444	0.28585810000000045	0.47285220000000017	0.07653819999999989
EmbeddingComposite	sample	149	QUBO	4	5	0.0008311000000027491	0.03310480000000027	0.08350889999999822	0.038768000000001024
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.000565399999999272	0.300032400000001	0.4916311000000011	0.0833921999999987
EmbeddingComposite	sample	149	QUBO	4	5	0.0006953000000002874	0.03420949999999934	0.0818372000000025	0.0436191000000008
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0007716999999995977	0.2859839000000015	0.47459050000000147	0.011908700000001105
EmbeddingComposite	sample	149	QUBO	4	5	0.0005218999999989649	0.032380799999998544	0.08129710000000046	0.014069199999998006
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0030026999999996917	0.33573250000000066	0.5725740999999989	0.02172129999999939
EmbeddingComposite	sample	149	QUBO	4	5	0.0009642000000020801	0.040641399999998384	0.09756709999999913	0.06812860000000143
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0028898999999995567	0.3873443999999999	0.6438263000000006	0.03049530000000189
EmbeddingComposite	sample	149	QUBO	4	5	0.000620800000000088	0.04204009999999769	0.10444460000000078	0.04188150000000235
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0007543000000005406	0.29668589999999995	0.4948882000000001	0.029531600000000324
EmbeddingComposite	sample	149	QUBO	4	5	0.000628800000000318	0.03406250000000011	0.08115040000000029	0.07245170000000023
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0006361000000012496	0.3233051000000007	0.5233246999999999	0.07141139999999879
EmbeddingComposite	sample	149	QUBO	4	5	0.0007950999999977171	0.03333759999999941	0.08159739999999971	0.03871660000000077
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0005655000000004407	0.28921889999999806	0.47837880000000155	0.07558990000000065
EmbeddingComposite	sample	149	QUBO	4	5	0.0005674999999989438	0.03209640000000036	0.08217940000000112	0.03543839999999676
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0032329999999998194	0.31175529999999974	0.5092334999999997	0.07767340000000011
EmbeddingComposite	sample	149	QUBO	4	5	0.0007706999999994579	0.03186670000000014	0.08381880000000042	0.040337599999999973
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0006934999999996805	0.39062160000000024	0.6438785999999999	0.011898200000000081
EmbeddingComposite	sample	149	QUBO	4	5	0.0005750999999998285	0.03551910000000014	0.1054276999999999	0.015063799999999183
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0006343999999991468	0.3977208000000019	0.6590561000000008	0.013157800000001885
EmbeddingComposite	sample	149	QUBO	4	5	0.0006412000000004525	0.04921009999999981	0.12285710000000094	0.020613700000001955
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.0005746999999978186	0.418553799999998	0.7270798999999997	0.0017253000000003738
EmbeddingComposite	sample	149	QUBO	4	5	0.0006269999999979348	0.04862439999999779	0.11756899999999959	0.008443099999997372
EmbeddingComposite	sample_qubo	266	TupleWithoutOffset	4	5	0.002369899999999703	0.30048530000000007	0.49287239999999954	0.010471599999999803
EmbeddingComposite	sample	149	QUBO	4	5	0.0005316999999998018	0.03495079999999984	0.08641940000000048	0.012206499999999565
