class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
EmbeddingComposite	sample	149	QUBO	25	73	0.0022535999999995227	4.7135497000000015	4.7551593000000025	0.14688490000000343
EmbeddingComposite	sample	149	QUBO	25	75	0.0005847999999986087	2.1916268000000017	2.2103569999999984	0.0626692999999996
EmbeddingComposite	sample	149	QUBO	25	71	0.0006111999999998119	2.1682798000000005	2.1884283	0.07104320000000008
EmbeddingComposite	sample	149	QUBO	25	75	0.0009493000000002638	2.513779399999999	2.5351278000000015	0.20102819999999966
EmbeddingComposite	sample	149	QUBO	25	73	0.0005743000000002496	1.7499429999999982	1.7667183999999985	0.18088570000000104
EmbeddingComposite	sample	149	QUBO	25	75	0.0006370999999987248	1.681889199999997	1.6991553999999987	0.15499849999999782
EmbeddingComposite	sample	149	QUBO	25	73	0.0006255999999993378	1.6353369000000022	1.6508095000000012	0.17696060000000102
EmbeddingComposite	sample	149	QUBO	25	75	0.0005425000000016666	1.6207326000000002	1.6370866999999976	0.051413400000001275
EmbeddingComposite	sample	149	QUBO	25	71	0.0006303000000009717	1.6232967999999985	1.6377904	0.09414190000000033
EmbeddingComposite	sample	149	QUBO	25	77	0.0014184999999997672	1.6512074000000005	3.2215533999999977	0.030027300000000423
